hotelName,cityName,stars,price,countryName,address
Santa Maria Motel,Rotorua,3,72,New Zealand,270 Te Ngae Road
Taupo DeBretts Spa Resort,Taupo,5,86,New Zealand,Napier Taupo Highway SH5
Twin Peaks Lakeside Inn,Taupo,3.5,102,New Zealand,76-80 Lake Terrace
Walkers Homestay B&B,Rotorua,1,99999,New Zealand,13 Glenfield Road
Yeoman Homestay Hotel Taupo,Taupo,1,99999,New Zealand,61 Puriri Street
Beachcomber Motel Gisborne,Gisborne,3,93,New Zealand,73 Salisbury Road
Gran Hotel Panamericano Mar del Plata,Mar Del Plata,3,73,Argentina,Hipolito Yrigoyen 1683
Terrazas Del Bosque,Mar de las Pampas,4,99999,Argentina,Los Andes Y Limay
San Remo Palace Hotel,Villa Gesell,3,76,Argentina,La Alameda 203 Numero 22
San Remo Villa Corral Aparts,Carilo,4,104,Argentina,Avellano y Becasina
Comfort Inn Sovereign Hill,Ballarat,3.5,146,Australia,Magpie Street
65 Main,Hepburn Springs,4,202,Australia,65 Main Rd
BEST WESTERN Airport Motel & Convention Centre,Melbourne,4,115,Australia,33 Ardlie Street
Best Western Alexander Motor Inn & Apartments,Melbourne,3,92,Australia,980 Mt Alexander Road
Central Springs Inn,Daylesford,4,117,Australia,6 Camp Street
City West Serviced Apartments Melbourne,Melbourne,4,99999,Australia,160 Cecil Street
Hiigh Apartments,Melbourne,4,161,Australia,153B High Street Prahran
Kestrel Motor Inn Kilmore,Kilmore,3,99999,Australia,99 Powlett Street
Knightsbridge Apartments,Melbourne,3,98,Australia,101 George Street
Lake House,Daylesford,4,99999,Australia,4 King Street
Middle Park Hotel Melbourne,Melbourne,4,117,Australia,102 Canterbury Road
Pint On Punt Hostel Melbourne,Melbourne,3,99999,Australia,42 Punt Road Windsor
Quality Hotel Melbourne Airport,Melbourne,3,153,Australia,265 Mickleham Road Tullamarine
Quest Clocktower on Lygon Apartments Melbourne,Melbourne,4,182,Australia,255 Drummond Street Carlton Melbourne VIC 3053
Redan Apartments,Melbourne,3,95,Australia,25 Redan Street St Kilda
Rendezvous Hotel Melbourne,Melbourne,4,129,Australia,328 Flinders Street
Royce Hotel,Melbourne,5,147,Australia,379 St Kilda Road
Sunshine Motor Inn,Melbourne,3,110,Australia,608 Ballarat Road (Western Hwy)
The Nunnery,Melbourne,1,99999,Australia,116 Nicholson Street
Comfort Inn Coach & Bushmans,Seymour,3.5,139,Australia,66 Emily Street
Como Cottage Accommodation,Melbourne,3,190,Australia,1465 Mt Dandnong Tourist Road
Dandenong Motel Melbourne,Melbourne,3,99999,Australia,147 Princes Highway Dandenong
Glen Harrow,Melbourne,4.5,99999,Australia,Old Monbulk Road Belgrave
Glen Inn,Melbourne,3,106,Australia,605 Ferntree Gully Road
Healesville Apartments,Melbourne,4,147,Australia,18 Symon Street
PuntHill Knox,Melbourne,4,139,Australia,337 Stud Road Knox
Quest On Doncaster Apartments Melbourne,Melbourne,3.5,139,Australia,855 Doncaster Road Doncaster
Toorak Manor - a Quality Inn,Melbourne,4,107,Australia,220 Williams Road Toorak
Yarra Glenn Bed and Breakfast,Melbourne,2,114,Australia,112 Yarra Glen Road
Ski Club Of Victoria Lodges Mount Buller,Mount Buller,3.5,99999,Australia,195 New Summit Road
Bellevue on the Lakes,Lakes Entrance,4,166,Australia,201 Esplanade
BEST WESTERN Coachmans Rest Motor Inn,Eden,3,113,Australia,81 Princes Highway
Castaways,Waiuku,5,175,New Zealand,685 Karioitahi Beach Road
Four Elements Raglan,Raglan,5,99999,New Zealand,90 Upper Wainui Road RD3
Anglesea Motel & Conference Centre,Hamilton,4,92,New Zealand,36 Liverpool Street
Grand Mercure Puka Park Resort,Pauanui,4,195,New Zealand,Mount Avenue
Novotel Hamilton Tainui,Hamilton,4,92,New Zealand,7 Alma Street
Park View Motor Lodge Hamilton,Hamilton,5,105,New Zealand,450 Tristram Street
The Commercial Hotel Accommodation,Hamilton,3,67,New Zealand,287 Victoria Street | Corner Victoria St. and Collingwood St.
Academy Motor Inn,Tauranga,4.5,99999,New Zealand,734 Cameron Road
The Sebel Trinity Wharf Tauranga,Tauranga,4,133,New Zealand,51 Dive Crescent
Alborada Hotel,Concepcion,4,101,Chile,Barros Arana 457
Gran Hotel Fontainebleau,San Clemente del Tuyu,4,75,Argentina,Calle 3 Nro 2290 Esquina Avda Costanera
Comfort Inn William Macintosh,Naracoorte,3.5,118,Australia,Adelaide Road
Barclay On View Motor Inn,Bendigo,4,133,Australia,181 View St Victoria 3550
BEST WESTERN Crystal Inn,Bendigo,4,106,Australia,233-235 McIvor Highway
Langley Hall Bed & Breakfast Bendigo,Bendigo,4.5,99999,Australia,484 Napier Street Victoria 3550
McIvor Motor Inn & Lotus Convention Centre,Bendigo,3,111,Australia,45 McIvor Road Bendigo VIC 3550
Perricoota Vines Retreat,Moama,4.5,138,Australia,400 Pericoota Road
Quest Echuca,Echuca,4,127,Australia,25-29 Heygarth Street
Welcome Stranger Motel,Bendigo,3.5,99999,Australia,56 MacKenzie Street West VIC 3555
Arcadia Motor Inn,Corowa,3,118,Australia,127 Federation Avenue
Australia Park Motel,Albury,3,113,Australia,Wodonga Place
Best Western Heritage Motor Inn Corowa,Corowa,4,132,Australia,25 Edward Street
BEST WESTERN Stagecoach Motel,Wodonga,3,123,Australia,188 Melbourne Road
Big 4 Bright,Bright,4,99999,Australia,1-11 Mountbatten Avenue
Golden Heritage Motor Inn & Cottages,Beechworth,4,128,Australia,Bonaira Street
Westwood Lodge Bright,Bright,4,139,Australia,8 Wood Street
Snowy Valley Resort,Jindabyne,3,407,Australia,Kosciusko Road
Pelican Motor Inn,Merimbula,3,102,Australia,18 Merimbula Drive
Green Gables Bed and Breakfast,Tilba Tilba,4,99999,Australia,269 Corkhill Drive
All Seasons Auckland,Auckland,3,50,New Zealand,20 Wyndham Street
Auckland Airport Kiwi Motel,Manukau City,3,46,New Zealand,144 McKenzie Road Mangere
Bavaria Bed & Breakfast Hotel,Auckland,3,86,New Zealand,83 Valley Road
BEST WESTERN BKs Pioneer Motor Lodge,Manukau City,4,84,New Zealand,205 Kirkbride Road
Bianco off Queen,Auckland,4,70,New Zealand,2 White Street
Formosa Golf Resort Manukau City,Manukau City,4,99999,New Zealand,110 Jack Lachlan Drive Beachlands
Hobson Motor Inn & Wings,Waitakere,3.5,89,New Zealand,327 Hobsonville Road
Kingsgate Hotel Parnell,Auckland,3,62,New Zealand,92-102 Gladstone Road
Manukau Motor Lodge,Manukau City,4,123,New Zealand,631 Great South Road
Millars Epsom Homestay,Auckland,3,99999,New Zealand,10 Ngaroma Road
Off Broadway,Auckland,4,118,New Zealand,11 Alpers Avenue Newmarket
Rendezvous Hotel Auckland,Auckland,4,86,New Zealand,Corner Mayoral Drive and Vincent Street
Auckland,Auckland,3,118,New Zealand,50 Crescent Road East Palm Beach
Beachfront Resort,Whitianga,4,142,New Zealand,113 Buffalo Beach Road
Enclosure Bay,Auckland,4,264,New Zealand,9 Great Barrier Road
Kutralwe,Los Molles,2,99999,Argentina,Ruta 222
Dolphin Lodge Albany,Albany,3,100,Australia,32 Adelaide Cresent Middleton Beach Albany
Grand Mercure The Links Vacation Club Apartments Normanville,Normanville,4,99999,Australia,1 St Andrews Boulevard
Mclaren Vale Studio Apartments,Adelaide,4,207,Australia,222 Main St. PO Box 852 McLaren Vale
Rivergum Holiday Retreat Corowa,Corowa,4,99999,Australia,386 Honour Avenue
Jolly Swagman Motor Inn,Holbrook (Australia),3.5,128,Australia,46 Albury Street
Quest Wagga Wagga,Wagga Wagga,4.5,152,Australia,69 Gurwood Street
Airport International Motel,Queanbeyan,4,122,Australia,57-73 Yass Road
BEST WESTERN Motel Monaro,Canberra,3,160,Australia,27 Dawes Street Kingston
Canberra City Gateway Motel,Canberra,3,99999,Australia,Cnr Northbourne and Mouat
Canberra Waldorf Apartments Hotel,Canberra,4,148,Australia,2 Akuna Street
City Walk Hotel,Canberra,3,99999,Australia,2 Mort St.(G.P.O.Box3037)
Medina Executive James Court,Canberra,4,136,Australia,74 Northbourne Avenue
Beach Drive Motel,Batemans Bay,3,80,Australia,24 Beach Road
Corrigans Cove,Batehaven,4,154,Australia,204 Beach Road
Mollymook Motel Ulladulla,Ulladulla,2,99999,Australia,Corner of Princes Highway and Golf Avenue
114 on Waipapa,Kerikeri,1,99999,New Zealand,114 Waipapa Road RD2
Abbey House Boutique Bread & Breakfast,Kerikeri,3,119,New Zealand,24 Urutawa Drive
Abilene Motel,Kerikeri,3,93,New Zealand,136 Kerikeri Rd
Brisa Cottages B&B Okiato,Okiato,3,99999,New Zealand,92B Te Wahapu Road
Haruru Falls Motor Inn Paihia,Paihia,3,99999,New Zealand,Puketona Road Northland 0154
Kingsgate Hotel Autolodge Paihia,Paihia,3,91,New Zealand,104 Marsden Road
Ounuwhao Harding House,Russell (New Zealand),5,99999,New Zealand,Matauwhi Rd
Pichilemu Surf Hostal,Pichilemu,2,99,Chile,Calle Eugenio Diaz Lira 167
Hotel Francia,San Rafael (Argentina),1,59,Argentina,Francia 248
Tierra Mora Apart Hotel,San Rafael (Argentina),3,94,Argentina,AMEGHINO 350
Virginia Departamentos,San Rafael (Argentina),3,83,Argentina,Leopoldo Lugones 193
Dazzler Camberland Hotel Pilar,Fatima (Argentina),4,148,Argentina,Panamericana (Ruta 8) Km. 64.5 Fatima
Posada De La Plaza,San Antonio de Areco,3,99999,Argentina,480 Alvear St.
Abasto Hotel,Buenos Aires,5,103,Argentina,Avenida Corrientes 3190
Al Sol Baires Apartment-Luis Saenz Pena & Rivadavia,Buenos Aires,1,76,Argentina,Luis Saenz Peña 20 9ºJ
Argenta Tower Hotel and Suites,Buenos Aires,4,97,Argentina,Juncal 868
B.A. Stop Buenos Aires Hostel,Buenos Aires,2,12,Argentina,Av. Rivadavia 1194
Bayside Forum Apartments,Buenos Aires,4,98,Argentina,Olga Cossettini 162
BoBo Hotel,Buenos Aires,4,204,Argentina,Guatemala 4882
Buenos Aires Base,Buenos Aires,3,112,Argentina,Araoz 1997
Casasur Art Hotel,Buenos Aires,5,160,Argentina,Avenida Callao 1823
Colors Rent Apartment Buenos Aires,Buenos Aires,4,99999,Argentina,Uruguay 847 1 piso oficina 10
Concord Recoleta Suites Buenos Aires,Buenos Aires,4,78,Argentina,Av Callao 1234
Duque Hotel Boutique & Spa,Buenos Aires,4,90,Argentina,Guatemala 4364
Gran Hotel Ailen Buenos Aires,Buenos Aires,3,91,Argentina,Suipacha 18
Hostel Carlos Gardel,Buenos Aires,2,13,Argentina,Carlos Calvo 579
Hotel 8 de Octubre,Buenos Aires,3,62,Argentina,Paraguay 1420
Hotel Chile,Buenos Aires,2,77,Argentina,Av. De Mayo 1297
Hotel Jacaranda Suites,San Fernando (Buenos Aires),4,99999,Argentina,Necochea 810 San Fernando
Hotel La Perla Buenos Aires,Buenos Aires,3,63,Argentina,Avenida Jujuy 36
Howard Johnson Congreso,Buenos Aires,3,77,Argentina,Bartolome Mitre 2241
Howard Johnson Inn Palermo,Buenos Aires,4,119,Argentina,Niceto Vega 5832
La Sonada,Tigre,2.5,131,Argentina,Anastasio El Pollo 1786
Le Batiment Apartments Buenos Aires,Buenos Aires,4,78,Argentina,Paraguay 2862
Leonardo Da Vinci Residence,Buenos Aires,2,41,Argentina,Libertad 1224
Liberty Hotel Buenos Aires,Buenos Aires,3,83,Argentina,Avenida Corrientes 632
Livin Residence Buenos Aires,Buenos Aires,4,80,Argentina,Viamonte 1815
Loi Suites Arenales Hotel,Buenos Aires,4,101,Argentina,Arenales 855
Luey Hotel,Buenos Aires,3,77,Argentina,Av Rivadavia 2902
NH Lancaster,Buenos Aires,4,141,Argentina,Avenida Cordoba 405
Noster Bayres Bed & Breakfast,Buenos Aires,3,99999,Argentina,Brasil 459
Panamericano Buenos Aires Hotel,Buenos Aires,5,161,Argentina,Carlos Pellegrini 525
Parada Abasto Apartamentos,Buenos Aires,1,80,Argentina,Aguero 568
Scala Hotel Buenos Aires,Buenos Aires,4,109,Argentina,Bernardo De Irigoyen 740
Sissi Haz Hotel Buenos Aires,Buenos Aires,3,99999,Argentina,Malabia 1561
Super Resort Buenos Aires,Buenos Aires,2,64,Argentina,Tte General Perón 940
Tribeca Studios,Buenos Aires,3,63,Argentina,Bartolome Mitre 4284
Villa Julia Buenos Aires,Buenos Aires,4,99999,Argentina,Av del libertador 16170
Embajador,Montevideo,4,99999,Uruguay,San Jose 1212
Ermitage Hotel Montevideo,Montevideo,4,63,Uruguay,Juan Benito Blanco 783
Europa Hotel Montevideo,Montevideo,3,67,Uruguay,Colonia 1341
Hotel Arapey,Montevideo,2,39,Uruguay,Avenida Uruguay 925
Los Angeles Hotel Montevideo,Montevideo,2,48,Uruguay,Avenida 18 De Julio 974
Sheraton Montevideo Hotel,Montevideo,5,194,Uruguay,Calle Victor Solino 349
Posada De Mis Padres,La Floresta (Uruguay),2,91,Uruguay,33 y Mackionnon
San Remo Terrazas Hotel,Piriapolis,3,99999,Uruguay,Pasaje Superior De La Av Francisco Piriá
Alhambra Hotel Punta del Este,Punta del Este,3,72,Uruguay,Calle 28 entre Avenida Gorlero y calle 24
Days Inn Brava,Punta del Este,3,112,Uruguay,Los Meros 590
Hotel Concorde - La Salina,Punta del Este,3,85,Uruguay,La Salina Y Gorlero N° 717
Hotel Terrazas De Costa Azul,La Paloma,3,124,Uruguay,Balneario Costa Azul
Beach Haven,Cape Town,4,582,South Africa,59 Fourth Beach Clifton
Bluebottle Guesthouse Cape Town,Cape Town,3,52,South Africa,18 Mount Road Muizenberg
Brightwater Lodge,Cape Town,3,59,South Africa,9 Brighton Street Hout Bay
Riverside Estates,Cape Town,4,65,South Africa,Valley Rd Hout Bay
Smart Stay Luxury Self-catering Apartments,Somerset West,4,71,South Africa,17-18 Pintail Way
Villa Hout Bay Heights,Cape Town,4,64,South Africa,35 Penzance Avenue
78 on 5th Bed and Breakfast Hermanus,Hermanus,2,60,South Africa,78 5th Street Voelklip
The Wild Fig,Kleinmond,2,48,South Africa,5 De Vos Street
Adler´s Nest,Mossel Bay,3,78,South Africa,5 Klipheuwel Street Aalwyndal
At Whale-Phin Guest House,Mossel Bay,1,45,South Africa,8 Grysbok Avenue
P.H. Mossel Bay Hotel,Mossel Bay,3,107,South Africa,Corner of Church and Market Streets PO Box 349
The Point Hotel,Mossel Bay,4,93,South Africa,Point Road
Isola Bella Guest House,Knysna,4,84,South Africa,21 Hart Road
Knysna Log-Inn Hotel,Knysna,4,68,South Africa,16 Grey Street PO Box 46
Knysna Manor Guest House,Knysna,3,46,South Africa,19 Fichat Street
Knysna Stays,Knysna,4,58,South Africa,25 Old Toll Road Upper Old Place
